,PCOS (Y/N)
Follicle No. (R),0.6483269560999778
Follicle No. (L),0.6033461529569702
Skin darkening (Y/N),0.4757330238463864
hair growth(Y/N),0.4646666251220084
Weight gain(Y/N),0.441047267155595
Cycle(R/I),0.40164375375635875
Fast food (Y/N),0.3779329480148989
Pimples(Y/N),0.28607667713408585
AMH(ng/mL),0.26386340015708215
Weight (Kg),0.21193796580755195
BMI,0.2001756813847585
Cycle length(days),-0.17848004472178902
Hair loss(Y/N),0.17287851079784008
Age (yrs),-0.1685126833773446
Waist(inch),0.16459775149926245
Hip(inch),0.16229711555100007
Avg. F size (L) (mm),0.13299150562500472
Marraige Status (Yrs),-0.11289660614014004
Endometrium (mm),0.1066482509410609
Avg. F size (R) (mm),0.09768980404483955
