feature,coef,abs_coef
num__Follicle No. (R),1.6415583765443578,1.6415583765443578
num__hair growth(Y/N),0.8155102277764391,0.8155102277764391
num__Follicle No. (L),0.7224627618753814,0.7224627618753814
num__Cycle(R/I),0.7011638478955625,0.7011638478955625
num__Weight gain(Y/N),0.6702333183802722,0.6702333183802722
num__Pulse rate(bpm),0.6623956290772259,0.6623956290772259
num__PRG(ng/mL),-0.6035831296037817,0.6035831296037817
num__Skin darkening (Y/N),0.5264562790477313,0.5264562790477313
num__Pimples(Y/N),0.4139369576628405,0.4139369576628405
num__Marraige Status (Yrs),-0.3421883130732844,0.3421883130732844
num__LH(mIU/mL),0.3347417399778943,0.3347417399778943
num__Fast food (Y/N),0.3136502048564174,0.3136502048564174
num__Reg.Exercise(Y/N),0.26003771900232403,0.26003771900232403
num__RBS(mg/dl),0.23097575305560522,0.23097575305560522
num__TSH (mIU/L),0.2194150086398288,0.2194150086398288
