dataset,archive_in_zip,matrix_member,n_genes,n_cells,nnz,nnz_per_cell,sparsity
Endometrium,UA_Endo12269811_FX0022.tar.gz,work/UA_Endo12269811_FX0022/matrix.mtx.gz,36601,5734,19782539,3450.04,0.9057
Endometrium,UA_Endo12604667_FX1130.tar.gz,work/UA_Endo12604667_FX1130/matrix.mtx.gz,36601,4844,18716681,3863.89,0.8944
PCOS,Mc02-C.tar,01_4796UPenn_Mc02-C_scRNA-seq_hs_SI-GA-E1/filtered_feature_bc_matrix/matrix.mtx.gz,36601,3361,13846204,4119.67,0.8874
PCOS,Mc02-F.tar,02_4796UPenn_Mc02-F_scRNA-seq_hs_SI-GA-E2/filtered_feature_bc_matrix/matrix.mtx.gz,36601,4051,14587461,3600.95,0.9016
PCOS,Mc03-C.tar,11_4796UPenn_Mc03-C_scRNA-seq_hs_SI-GA-D3/filtered_feature_bc_matrix/matrix.mtx.gz,36601,3689,15790913,4280.54,0.8830
PCOS,Mc03-F.tar,12_4796UPenn_Mc03-F_scRNA-seq_hs_SI-GA-D4/filtered_feature_bc_matrix/matrix.mtx.gz,36601,4663,13997437,3001.81,0.9180
PCOS,Mc06-C.tar,03_4796UPenn_Mc06-C_scRNA-seq_hs_SI-GA-E3/filtered_feature_bc_matrix/matrix.mtx.gz,36601,2600,13158767,5061.06,0.8617
PCOS,Mc06-F.tar,04_4796UPenn_Mc06-F_scRNA-seq_hs_SI-GA-E4/filtered_feature_bc_matrix/matrix.mtx.gz,36601,4126,14595136,3537.36,0.9034
PCOS,Mc10-C.tar,13_4796UPenn_Mc10-C_scRNA-seq_hs_SI-GA-D5/filtered_feature_bc_matrix/matrix.mtx.gz,36601,2212,8854197,4002.80,0.8906
PCOS,Mc10-F.tar,14_4796UPenn_Mc10-F_scRNA-seq_hs_SI-GA-D6/filtered_feature_bc_matrix/matrix.mtx.gz,36601,4054,11925239,2941.60,0.9196
PCOS,Mc16-C.tar,15_4796UPenn_Mc16-C_scRNA-seq_hs_SI-GA-D7/filtered_feature_bc_matrix/matrix.mtx.gz,36601,3035,13159502,4335.91,0.8815
PCOS,Mc16-F.tar,16_4796UPenn_Mc16-F_scRNA-seq_hs_SI-GA-D8/filtered_feature_bc_matrix/matrix.mtx.gz,36601,3147,11902982,3782.33,0.8967
PCOS,Mc26-C.tar,17_4796UPenn_Mc26-C_scRNA-seq_hs_SI-GA-C9/filtered_feature_bc_matrix/matrix.mtx.gz,36601,2695,10172287,3774.50,0.8969
PCOS,Mc26-F.tar,18_4796UPenn_Mc26-F_scRNA-seq_hs_SI-GA-C10/filtered_feature_bc_matrix/matrix.mtx.gz,36601,2373,8687535,3660.99,0.9000
PCOS,Mc27-C.tar,19_4796UPenn_Mc27-C_scRNA-seq_hs_SI-GA-C11/filtered_feature_bc_matrix/matrix.mtx.gz,36601,2845,12184587,4282.81,0.8830
PCOS,Mc27-F.tar,20_4796UPenn_Mc27-F_scRNA-seq_hs_SI-GA-C12/filtered_feature_bc_matrix/matrix.mtx.gz,36601,5273,15584949,2955.61,0.9192
PCOS,Mc31-C.tar,05_4796UPenn_Mc31-C_scRNA-seq_hs_SI-GA-E5/filtered_feature_bc_matrix/matrix.mtx.gz,36601,2045,9324816,4559.81,0.8754
PCOS,Mc31-F.tar,06_4796UPenn_Mc31-F_scRNA-seq_hs_SI-GA-E6/filtered_feature_bc_matrix/matrix.mtx.gz,36601,4268,14834132,3475.66,0.9050
PCOS,Mc40-C.tar,07_4796UPenn_Mc40-C_scRNA-seq_hs_SI-GA-E7/filtered_feature_bc_matrix/matrix.mtx.gz,36601,2050,9964539,4860.75,0.8672
PCOS,Mc40-F.tar,08_4796UPenn_Mc40-F_scRNA-seq_hs_SI-GA-E8/filtered_feature_bc_matrix/matrix.mtx.gz,36601,4177,13675077,3273.90,0.9106
PCOS,Mc50-C.tar,09_4796UPenn_Mc50-C_scRNA-seq_hs_SI-GA-D1/filtered_feature_bc_matrix/matrix.mtx.gz,36601,4274,17101870,4001.37,0.8907
PCOS,Mc50-F.tar,10_4796UPenn_Mc50-F_scRNA-seq_hs_SI-GA-D2/filtered_feature_bc_matrix/matrix.mtx.gz,36601,5285,15442289,2921.91,0.9202
